Name,FantPts MEDIAN,FantPts SKEW,FantPts +SD,FantPts -SD,FantPts 30 Percentile,Last 5 Games,Rec XS Pts
Patrick Mahomes,24.060000000000002,0.3838888888888867,31.64614616311426,15.706076059107971,19.78,"[27.7, 20.24, 40.0, 25.48, 20.44]",2.71
Deshaun Watson,20.9,-0.5018604651162804,29.980906714641634,12.822814215590926,17.004,"[24.86, 20.9, 17.06, 14.7, 20.82]",-1.23
Aaron Rodgers,20.62,0.35135135135135087,29.051115297975223,11.48618199932208,15.959999999999999,"[29.58, 24.52, 18.8, 30.76, 19.02]",3.92
Lamar Jackson,20.009999999999998,0.9827777777777769,30.40164581480449,7.652798629639955,14.7,"[13.5, 25.02, 16.18, 17.56, 27.5]",-0.06
Russell Wilson,19.34,-0.3595488721804543,27.910604784112934,11.488492960247976,14.888000000000002,"[24.48, 20.9, 34.8, 33.42, 31.78]",9.74
Josh Allen,19.28,-0.18303030303030354,29.035543193087076,9.890517412973534,16.32,"[16.32, 25.42, 33.24, 34.5, 32.18]",9.05
Dak Prescott,19.16,-0.039420289855073065,27.895224532344663,10.503616047365485,15.307999999999998,"[5.34, 35.28, 29.48, 41.8, 17.64]",6.75
Cam Newton,18.66,-1.447031250000002,28.39237267058785,11.821689829412154,14.354,"[11.18, 34.58, 25.7, 13.32, 7.36]",-0.23
Drew Brees,18.16,-0.10099999999999909,26.770942344674104,9.751057655325894,13.734000000000002,"[21.1, 15.54, 23.52, 14.48, 14.4]",-0.35
Tom Brady,17.53,-0.14634482758620493,25.620426850616997,9.732262804555415,13.074000000000002,"[14.12, 32.46, 23.88, 10.68, 20.46]",2.79
Carson Wentz,17.46,-0.013114754098360493,23.240855947143118,11.705373561053605,14.26,"[15.42, 19.42, 21.5, 12.38, 15.0]",-0.72
Matthew Stafford,17.1,-0.29071895424836214,24.628038546089048,10.15339936240768,13.684000000000001,"[20.34, 18.5, 16.16, 16.18, 26.84]",2.5
Matt Ryan,16.92,-0.11154639175257586,23.583449542897423,10.479643240607732,13.616,"[6.94, 12.4, 11.42, 28.52, 23.9]",-0.28
Jared Goff,16.46,0.0259999999999998,25.23087409812742,7.637125901872583,10.71,"[24.36, 11.7, 25.24, 23.98, 10.5]",2.7
Ben Roethlisberger,16.29,-0.19801801801801489,24.00755941635494,8.968476619681088,12.442,"[21.36, 17.18, 18.24, 22.06, 3.0]",0.08
Kirk Cousins,16.16,-0.753877551020409,24.88885977737207,8.93889532466875,12.137999999999998,"[16.16, 14.9, 19.44, -1.48, 19.76]",-2.4
Andy Dalton,16.12,0.5474074074074071,22.951303292065226,8.193881893119963,11.5,"[4.44, 0.0, 16.6, 31.84, 2.14]",-5.12
Philip Rivers,15.62,-0.2466094420600875,22.475000340373416,9.258218543746757,12.463999999999999,"[5.62, 11.2, 12.68, 10.86, 14.82]",-4.58
Ryan Tannehill,15.39,-0.3061538461538458,22.864618266855036,8.527689425452657,12.868,"[30.0, 11.74, 26.76, 19.36, 17.92]",5.77
Baker Mayfield,15.26,-0.26914285714286024,20.868321782468236,10.189963931817482,13.92,"[15.58, 15.2, 14.34, 15.26, 9.86]",-1.21
Tyrod Taylor,14.98,1.733125000000003,22.397018875180756,4.0967311248192395,,"[9.02, -0.2, 6.04, nan, nan]",
Derek Carr,14.52,-0.9375757575757593,22.491135701988775,8.424015813162743,11.712,"[23.98, 22.44, 19.44, 23.66, 13.56]",6.1
Ryan Fitzpatrick,14.2,-0.1206250000000022,22.541695772008037,6.099554227991966,,"[27.6, 19.3, 24.2, 22.32, 3.44]",5.17
Joe Flacco,13.64,-0.15317919075144282,20.30720036132859,7.279158020174298,10.204,"[13.8, 0.64, 7.86, 8.52, 4.98]",-6.48
Alex Smith,13.64,-0.03904191616766539,20.934336221851474,6.42374761048386,9.319999999999999,"[1.58, 4.7, 12.72, 16.44, 12.42]",-4.07
Robert Griffin III,13.14,-0.14925925925925831,23.117347395925638,3.46117112259288,,"[-0.1, -1.7, 0.26, 6.84, 0.6]",-11.96
Mitchell Trubisky,12.46,-2.3913636363636357,23.892592609963714,5.8101346627635575,9.046,"[11.62, 13.2, 24.28, 8.38, 8.28]",0.69
Sam Darnold,12.41,-1.421333333333335,21.205462730612453,6.457203936054215,10.886,"[23.6, 6.72, 11.86, 11.2, 9.76]",0.22
Teddy Bridgewater,11.9,0.36571428571428477,19.860515353203922,3.2080560753675087,7.0280000000000005,"[20.82, 26.24, 14.6, 10.68, 17.36]",6.04
Nick Foles,11.62,-1.4904918032786902,22.966474491681623,3.254509114875754,6.32,"[11.62, 11.86, 17.22, 2.02, 12.88]",-0.5
Jacoby Brissett,11.530000000000001,-0.13899999999999935,19.261121354843233,4.076878645156767,8.642,"[0.68, 0.0, 8.18, 14.46, 7.3]",-5.41
Jimmy Garoppolo,11.24,0.6259090909090919,19.566728643867627,1.6614531743141914,,"[-0.92, 13.24, 19.26, 11.8, 10.42]",-0.48
Brian Hoyer,6.33,-2.176764705882354,16.755978949996933,0.2575504617677744,,"[4.0, -0.2, -0.2, 6.16, 17.32]",-0.91
Taysom Hill,0.66,-1.2833333333333332,4.657221433068873,-0.7705547664022065,0.11599999999999988,"[4.52, 0.24, 0.24, 0.32, 4.32]",1.27
