Name,FantPts MEDIAN,FantPts SKEW,FantPts +SD,FantPts -SD,FantPts 30 Percentile,Last 5 Games,Rec XS Pts
Christian McCaffrey,15.600000000000001,-0.8919999999999959,25.870478184717626,7.113521815282368,10.08,"[20.799999999999997, 25.500000000000004, 15.8, 17.3, 29.500000000000004]",6.18
Ezekiel Elliott,15.4,-2.3065573770491827,25.15656562877748,10.256549125320888,13.700000000000001,"[22.5, 12.5, 11.8, 18.2, 24.700000000000003]",2.54
Todd Gurley,14.95,-0.9564102564102583,24.65722231139759,7.155598201422926,10.499999999999998,"[21.0, 18.3, 14.2, 6.1000000000000005, 11.700000000000001]",-0.69
Saquon Barkley,14.6,-1.345161290322583,25.109070161893253,6.781252418751912,10.8,"[2.8000000000000003, 6.6, 17.700000000000003, 39.900000000000006, 26.300000000000004]",4.06
Alvin Kamara,14.25,-1.3340000000000014,24.20832156456261,6.959678435437395,9.559999999999999,"[11.9, 17.900000000000002, 31.700000000000003, 29.4, 18.7]",7.67
Melvin Gordon,13.8,0.42112676056338216,21.04314872458677,5.714597754286464,8.8,"[23.800000000000004, 3.8000000000000003, 14.4, 14.600000000000001, 18.200000000000003]",1.16
Le'Veon Bell,13.700000000000001,-1.640506329113924,23.565445250052157,7.115567408175693,10.38,"[6.7, 4.6000000000000005, 7.700000000000001, 9.3, 8.8]",-6.28
Chris Carson,13.6,0.42631578947368176,19.328782480123042,7.018585940929593,8.74,"[13.899999999999999, 22.0, 7.6000000000000005, 16.8, 18.6]",2.18
Dalvin Cook,13.450000000000001,-1.6411764705882348,22.598601790737042,7.583751150439429,11.350000000000001,"[14.9, 26.6, 25.900000000000002, 13.100000000000001, 16.8]",6.01
Aaron Jones,12.700000000000001,-0.3704545454545478,24.02929041015814,2.111618680750956,4.65,"[17.1, 14.600000000000001, 41.599999999999994, 13.600000000000001, 14.3]",7.54
Kareem Hunt,12.450000000000003,-2.2949999999999964,23.85115317469598,5.63884682530402,9.079999999999998,"[15.299999999999999, 19.1, 12.400000000000002, 22.1, 8.1]",2.95
David Johnson,12.200000000000001,-1.053030303030301,22.120086352457474,4.3859742536031305,,"[10.3, 9.200000000000001, 10.600000000000001, 5.0, 16.9]",-1.8
