Name,FantPts MEDIAN,FantPts SKEW,FantPts +SD,FantPts -SD,FantPts 30 Percentile,Last 5 Games,Rec XS Pts
Adrian Peterson,12.15,-2.0982142857142865,23.389500331155876,5.106928240272698,8.51,"[9.6, 8.5, 4.1000000000000005, 11.4, 7.800000000000001]",-3.87
Leonard Fournette,12.1,-0.8666666666666689,20.421101352893928,5.51223198043941,,"[nan, 2.2, 23.6, 1.9000000000000001, 10.5]",
Nick Chubb,11.600000000000001,-1.147222222222224,21.922172159372092,3.5722722850723585,7.7,"[4.3, 23.0, 25.299999999999997, 6.6, 4.2]",1.08
LeSean McCoy,11.3,-1.0542682926829254,20.04315239410645,4.665384191259401,7.89,"[0.6000000000000001, 2.4000000000000004, 2.1, 0.2, 1.6]",-9.92
Frank Gore,10.55,-0.44043478260869584,17.778402224600793,4.202467340616601,,"[3.0, 3.6, 6.2, 6.300000000000001, 2.4000000000000004]",-6.25
Jordan Howard,10.15,-0.9216666666666669,18.55530059919959,3.5880327341337432,,"[-0.10000000000000003, 6.1, 6.4, 6.7, nan]",
Joe Mixon,10.0,-1.7102040816326536,19.252370130420164,4.168038032845144,7.18,"[9.4, 36.1, 6.5, 8.600000000000001, 7.1000000000000005]",3.54
Marlon Mack,9.3,-0.8048780487804876,17.474917099542438,2.734838998018539,5.4,"[5.6, 19.7, 16.1, 1.9000000000000001, 9.8]",1.32
Mark Ingram,9.3,-1.3507936507936513,18.037492464545256,3.2640948370420473,5.9,"[5.7, 9.700000000000001, 3.0, 13.7, 2.9000000000000004]",-2.3
Devonta Freeman,8.9,-2.09,19.57740024908439,2.4025997509156074,5.0,"[14.7, 6.800000000000001, 1.0, 7.300000000000001, 24.700000000000003]",2.0
Derrick Henry,8.75,-2.6424242424242426,21.239224747485782,1.5456237373627033,4.65,"[18.3, 25.0, 8.4, 13.100000000000001, 39.1]",12.03
Austin Ekeler,8.45,-1.1880000000000006,17.23101209356743,2.04498790643257,4.72,"[1.4000000000000001, 20.3, 14.8, 8.700000000000001, 8.9]",2.37
Phillip Lindsay,8.25,-2.8125,17.871874467978778,4.253125532021221,6.6,"[3.5000000000000004, 5.300000000000001, 17.799999999999997, 3.2, 11.500000000000002]",0.01
Carlos Hyde,7.7,-1.121686746987952,15.410406749122625,2.232966744853279,4.359999999999999,"[2.3000000000000003, 3.7, 8.3, 1.3, 9.7]",-2.64
Tevin Coleman,7.500000000000001,-1.2472222222222227,15.766832022826431,1.7276124216180149,4.0,"[4.0, 2.4000000000000004, 1.8000000000000003, 3.3000000000000003, 4.0]",-4.4
Latavius Murray,7.5,-1.1936842105263175,16.070802521904223,1.3165658991484124,,"[5.700000000000001, 20.299999999999997, 6.500000000000001, 3.3000000000000003, 4.800000000000001]",0.62
Sony Michel,7.25,-2.1968750000000004,15.793526866878697,3.100223133121304,4.93,"[14.000000000000002, 1.9000000000000001, 9.7, 13.4, 10.100000000000001]",2.57
James Conner,6.5,-3.4000000000000004,19.741747812253678,0.05825218774632468,1.6,"[12.3, 20.9, 18.1, 1.7000000000000002, 3.2]",4.74
Ronald Jones II,6.45,-0.2999999999999998,12.324619207653992,1.1753807923460071,1.7499999999999998,"[12.500000000000002, 12.8, 7.300000000000001, 8.700000000000001, 8.200000000000001]",3.45
T.J. Yeldon,6.300000000000001,-0.9982758620689651,12.605288481246435,1.9912632428914971,,"[13.399999999999999, 0.0, 1.8, 4.2, 2.8]",-1.86
James White,6.1,-1.34875,13.423189092362932,1.474310907637066,3.5000000000000004,"[5.9, 5.2, 9.700000000000001, 2.9000000000000004, 12.200000000000001]",1.08
Kenyan Drake,5.7,-1.938805970149252,15.531744034011393,-0.2541320937128875,1.6,"[12.2, 3.5, 7.9, 9.5, 12.5]",3.42
Giovani Bernard,5.7,-1.5538461538461537,13.094196640019419,1.4134956676728896,3.1799999999999997,"[0.4, 1.9000000000000001, 5.5, 2.5, 2.8000000000000003]",-3.08
Duke Johnson,5.300000000000001,-1.2469879518072275,11.005258899306549,2.0887170043079077,3.739999999999999,"[1.9000000000000001, 4.5, 1.4000000000000001, 11.7, 1.6]",-1.08
Jamaal Williams,5.2,-1.4639999999999995,13.135562912512883,0.1924370874871162,2.2800000000000002,"[10.5, 1.7000000000000002, 6.300000000000001, 4.2, 5.2]",0.38
Royce Freeman,4.9,-0.8764705882352928,9.593581888803683,1.959359287666902,2.5800000000000005,"[1.2000000000000002, 3.5, 2.0, 1.2000000000000002, 0.4]",-3.24
Tarik Cohen,4.9,-1.9941176470588236,12.228324683337258,1.5599106107803902,3.3,"[4.1, 2.7, 4.700000000000001, 6.4, 3.3]",-0.66
Matt Breida,4.9,-1.9829787234042549,12.877734371647655,0.8882230751608544,,"[5.9, 4.800000000000001, 0.4, 3.9000000000000004, 2.2]",-1.46
Jerick McKinnon,4.8,-1.8063492063492061,12.749398596641615,0.4632998160567965,2.46,"[0.5, 15.7, 13.700000000000001, 13.7, 10.4]",6.0
Theo Riddick,4.65,-0.7329268292682931,10.304178423511289,0.4616752350252993,,"[1.3, 2.4000000000000004, 0.5, 5.6000000000000005, 5.800000000000001]",-1.53
Nyheim Hines,4.4,-0.8378378378378377,9.516230017107947,0.959445658567728,2.9000000000000004,"[3.0, 3.2, 6.1, 0.4, 19.3]",2.0
Chris Thompson,4.15,-1.62,10.953651837923879,0.5863481620761224,,"[4.2, nan, 3.8, 8.7, 0.6000000000000001]",
Gus Edwards,4.050000000000001,-1.96875,10.850996355341342,1.186503644658659,2.769999999999999,"[2.5, 3.8000000000000003, 3.9000000000000004, 7.300000000000001, 1.7000000000000002]",-0.21
Dion Lewis,3.9000000000000004,-1.7670588235294122,11.65192840151908,-0.317810754460254,,"[0.1, 1.8, 1.0, 11.6, 0.1]",-0.98
Peyton Barber,3.8000000000000003,-1.4492537313432838,10.523242881489223,-0.024735418802654507,,"[nan, 0.5, 0.6000000000000001, 0.1, 14.9]",
Jalen Richard,3.2,-1.2623188405797103,8.257559724559794,0.6670779565996261,2.14,"[3.0, 1.6, 2.2, 8.6, 1.5]",0.18
Devontae Booker,3.1,-1.3736842105263158,8.863954553479074,0.08341386757355806,,"[6.7, nan, 3.1, 0.5000000000000001, 5.200000000000001]",
J.D. McKissic,2.9,-0.5769230769230766,7.147536215040004,-0.19369006119385102,,"[4.9, 4.6, 5.2, 5.300000000000001, -0.1]",1.08
Mike Davis,2.7,-2.377777777777778,11.078417474316538,-0.9228619187609803,,"[20.9, 17.1, 15.100000000000001, 7.5, nan]",
Rex Burkhead,2.6500000000000004,-2.0094594594594586,10.589806741187198,-1.2708878222682802,,"[5.0, 27.799999999999997, 4.9, 3.2, 5.4]",6.61
Jordan Wilkins,2.55,-0.7874999999999996,6.692491466745554,-0.017491466745554796,,"[0.1, 3.1, 4.5, 4.0, nan]",
Ty Montgomery,2.5,-1.9711864406779664,10.137452341405183,-1.195079460049251,,"[2.5, -0.4, 0.0, 0.8, 1.0]",-1.72
Jaylen Samuels,2.4000000000000004,-1.7433333333333332,8.961165392167104,-0.6744987255004355,,"[nan, 0.1, 0.4, 0.30000000000000004, 1.6]",
Corey Clement,2.4000000000000004,-1.9968750000000002,9.824016133884099,-1.0302661338840977,,"[nan, 0.30000000000000004, 0.8, nan, 2.1]",
Wayne Gallman,2.3,-1.4634146341463419,8.255449590464078,-0.7286203221713947,,"[2.4000000000000004, 4.5, 1.4000000000000001, 1.4000000000000001, 0.1]",-0.34
Brian Hill,2.05,-1.3031250000000005,7.563019978001999,-0.8567699780019984,,"[5.4, 2.3, 14.0, 2.5, 2.0]",3.19
Chase Edmonds,1.8000000000000003,-2.8757575757575755,11.829123492540663,-2.477608341025512,,"[15.2, 10.0, 3.4000000000000004, 1.3, 10.5]",6.28
Kyle Juszczyk,1.5,-0.9494949494949498,5.1938908622587485,-0.29490096326884885,,"[7.1, 1.3, 0.7000000000000001, 0.6000000000000001, 4.800000000000001]",1.4
Malcolm Brown,1.4000000000000001,-1.533898305084746,7.117676920967907,-1.2498803107984147,0.43999999999999984,"[2.4, 5.7, 1.9000000000000001, 4.7, 23.0]",6.14
Bruce Miller,0.5,-0.9619718309859153,3.670226875597455,-0.7462832136256243,,"[nan, nan, nan, 0.0, 0.2]",
C.J. Ham,0.4,-0.573469387755102,2.587441649779773,-0.6405028742695692,,"[0.0, 0.2, 1.1, 0.4, nan]",
Raheem Mostert,0.30000000000000004,-4.2867924528301895,11.65127669378587,-2.477691788125493,0.0,"[11.9, 16.700000000000003, 21.1, 19.3, 11.3]",15.76
Elijhaa Penny,0.2,-0.795121951219512,3.0336203225105214,-1.043376420071497,,"[0.30000000000000004, nan, nan, 0.0, nan]",
Andy Janovich,0.2,-0.86078431372549,3.141657056722769,-1.020088429271789,,"[0.4, nan, 1.3, 0.0, nan]",
Michael Burton,0.0,-0.22166666666666665,1.1484968152342374,-0.705163481900904,,"[0.2, 0.7000000000000001, nan, nan, nan]",
Senorise Perry,0.0,-0.08181818181818182,0.43305457424784355,-0.26941821061147997,,"[0.9, 0.0, 0.4, 0.0, 0.0]",0.26
Patrick Ricard,0.0,-0.8289473684210525,2.7821717151120313,-1.1242769782699265,,"[0.7000000000000001, nan, nan, 6.1, 0.8]",
Anthony Sherman,0.0,-0.7352000000000001,2.565291483699566,-1.0948914836995656,,"[0.0, nan, 6.5, nan, 0.2]",
Keith Smith,0.0,-0.15142857142857144,0.4985671258754045,-0.19570998301826162,,"[0.1, 0.4, 0.30000000000000004, 0.30000000000000004, 0.0]",0.22
Tyler Ervin,0.0,-0.5444444444444445,1.4790014653890338,-0.39011257650014486,,"[0.8, 1.3, 0.4, 4.4, 1.5]",1.68
Alex Armah,0.0,-0.6742857142857143,2.3829733526146604,-1.0344019240432316,,"[0.2, 0.2, nan, 1.4000000000000001, 0.1]",
